,date,year,month,open,high,low,close,volume,id
1672,2007-05-30,2007,5,114.3,506.5,113.53,118.77,52962727,1695
1671,2007-05-31,2007,5,120.07,506.5,119.54,121.19,46464443,1694
1670,2007-06-01,2007,6,121.1,506.5,118.29,118.4,31634770,1693
1669,2007-06-04,2007,6,118.63,506.5,117.9,121.33,31714050,1692
1668,2007-06-05,2007,6,121.41,506.5,120.5,122.67,32923607,1691
1667,2007-06-06,2007,6,122.3,506.5,121.95,123.64,39784327,1690
1666,2007-06-07,2007,6,124.99,506.5,123.19,124.07,68502341,1689
1665,2007-06-08,2007,6,125.82,506.5,122.29,124.49,44424672,1688
1664,2007-06-11,2007,6,126,506.5,119.54,120.19,67169301,1687
1663,2007-06-12,2007,6,119.35,506.5,118.31,120.38,50996330,1686
1662,2007-06-13,2007,6,121.15,506.5,115.4,117.5,61533464,1685
1661,2007-06-14,2007,6,117.2,506.5,116.42,118.75,34787691,1684
1660,2007-06-15,2007,6,120.62,506.5,119.86,120.5,28998667,1683
1659,2007-06-18,2007,6,123.28,506.5,122.54,125.09,32567397,1682
1658,2007-06-19,2007,6,124.69,506.5,122.91,123.66,33739070,1681
1657,2007-06-20,2007,6,123.87,506.5,121.5,121.55,32081485,1680
1656,2007-06-21,2007,6,121.7,506.5,120.72,123.9,30988733,1679
1655,2007-06-22,2007,6,123.85,506.5,122.38,123,22702166,1678
1654,2007-06-25,2007,6,124.19,506.5,121.06,122.34,34502566,1677
1653,2007-06-26,2007,6,123.98,506.5,118.72,119.65,48035816,1676
1652,2007-06-27,2007,6,120.61,506.5,119.26,121.89,34843108,1675
1651,2007-06-28,2007,6,122.36,506.5,120,120.56,30085840,1674
1650,2007-06-29,2007,6,121.97,506.5,121.09,122.04,40576077,1673
1649,2007-07-02,2007,7,121.05,506.5,119.3,121.26,35578565,1672
1648,2007-07-03,2007,7,122,506.5,121.5,127.17,41517190,1671
1647,2007-07-05,2007,7,128.8,506.5,128.69,132.75,51894676,1670
1646,2007-07-06,2007,7,133.13,506.5,130.4,132.3,31231894,1669
1645,2007-07-09,2007,7,132.38,506.5,129.18,130.33,35565002,1668
1644,2007-07-10,2007,7,128.88,506.5,128.81,132.35,44821783,1667
1643,2007-07-11,2007,7,132.07,506.5,131.31,132.39,29348984,1666
1642,2007-07-12,2007,7,133.85,506.5,132.39,134.07,25164507,1665
1641,2007-07-13,2007,7,135.03,506.5,134.52,137.73,32411581,1664
1640,2007-07-16,2007,7,138.39,506.5,137.5,138.1,33432591,1663
1639,2007-07-17,2007,7,138.3,506.5,137.5,138.91,25355612,1662
1638,2007-07-18,2007,7,138.19,506.5,136.04,138.12,27049910,1661
1637,2007-07-19,2007,7,140.3,506.5,139.65,140,26174616,1660
1636,2007-07-20,2007,7,141.65,506.5,140,143.75,41677469,1659
1635,2007-07-23,2007,7,143.31,506.5,140.93,143.7,37017446,1658
1634,2007-07-24,2007,7,138.88,506.5,134.15,134.89,64468105,1657
1633,2007-07-25,2007,7,137.35,506.5,135,137.26,58254048,1656
1632,2007-07-26,2007,7,145.91,506.5,136.96,146,78198293,1655
1631,2007-07-27,2007,7,146.19,506.5,143.78,143.85,41437326,1654
1630,2007-07-30,2007,7,144.33,506.5,139.57,141.43,39590684,1653
1629,2007-07-31,2007,7,142.97,506.5,131.52,131.76,63252957,1652
1628,2007-08-01,2007,8,133.64,506.5,127.77,135,62549932,1651
1627,2007-08-02,2007,8,136.65,506.5,134.15,136.49,30492699,1650
1626,2007-08-03,2007,8,135.26,506.5,131.5,131.85,24238329,1649
1625,2007-08-06,2007,8,132.9,506.5,128.3,135.25,33068267,1648
1624,2007-08-07,2007,8,134.94,506.5,132.63,135.03,33981278,1647
1623,2007-08-08,2007,8,136.76,506.5,132,134.01,28867162,1646
1622,2007-08-09,2007,8,131.11,506.5,125.09,126.39,40243225,1645
1621,2007-08-10,2007,8,123.12,506.5,120.3,125,50383322,1644
1620,2007-08-13,2007,8,128.32,506.5,126.5,127.79,26932558,1643
1619,2007-08-14,2007,8,128.29,506.5,123.71,124.03,26398699,1642
1618,2007-08-15,2007,8,122.74,506.5,119.65,119.9,35458951,1641
1617,2007-08-16,2007,8,117.01,506.5,111.62,117.05,66667828,1640
1616,2007-08-17,2007,8,122.01,506.5,119.82,122.06,42674872,1639
1615,2007-08-20,2007,8,123.96,506.5,120.5,122.22,28697254,1638
1614,2007-08-21,2007,8,122.21,506.5,121,127.57,46537395,1637
1613,2007-08-22,2007,8,131.22,506.5,130.33,132.51,37920229,1636
1612,2007-08-23,2007,8,133.09,506.5,129.76,131.07,30958438,1635
1611,2007-08-24,2007,8,130.53,506.5,129.81,135.3,32557569,1634
1610,2007-08-27,2007,8,133.39,506.5,132.1,132.25,25265816,1633
1609,2007-08-28,2007,8,130.99,506.5,126.63,126.82,42120365,1632
1608,2007-08-29,2007,8,129.88,506.5,129.54,134.08,41674427,1631
1607,2007-08-30,2007,8,132.67,506.5,132.3,136.25,51272577,1630
1606,2007-08-31,2007,8,139.49,506.5,137.41,138.48,31305282,1629
1605,2007-09-04,2007,9,139.94,506.5,139.84,144.16,47030096,1628
1604,2007-09-05,2007,9,144.97,506.5,136.1,136.76,83151957,1627
1603,2007-09-06,2007,9,135.56,506.5,132.71,135.01,67902198,1626
1602,2007-09-07,2007,9,132.01,506.5,130,131.77,51083769,1625
1601,2007-09-10,2007,9,137,506.5,133.95,136.71,53137352,1624
1600,2007-09-11,2007,9,137.9,506.5,133.75,135.49,34710176,1623
1599,2007-09-12,2007,9,135.99,506.5,135.75,136.85,36548046,1622
1598,2007-09-13,2007,9,138.83,506.5,136.65,137.2,23434314,1621
1597,2007-09-14,2007,9,136.57,506.5,136.2,138.81,21678369,1620
1596,2007-09-17,2007,9,138.99,506.5,137.6,138.41,28334614,1619
1595,2007-09-18,2007,9,139.06,506.5,137.83,140.92,38003145,1618
